epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,3.697068929672241,0.0467706013363029,0.02226524137462774,0.046261283840231204,0.019710488062991388
1.0,2.602121591567993,0.2806236080178174,0.29635969594025857,0.2871996243715844,0.22520499870468305
2.0,2.543696165084839,0.21937639198218262,0.19765334988869476,0.2196456097245571,0.169716870673879
3.0,2.088491916656494,0.366369710467706,0.39984375058408195,0.3698382759512524,0.32930040817705986
4.0,2.002361536026001,0.3674832962138085,0.39081653346631806,0.36716769567314034,0.3378585661922391
5.0,1.9385302066802979,0.3975501113585746,0.46128860362825264,0.39733106984468153,0.36080194552976125
6.0,1.9634422063827515,0.4153674832962138,0.47813761581361996,0.4123887899200966,0.3970996659601343
7.0,1.780281901359558,0.42761692650334077,0.47054258517048386,0.42827716995049114,0.41668043801626
8.0,1.723343849182129,0.4398663697104677,0.46941746161431835,0.43903393904074484,0.407966265499215
9.0,1.6994550228118896,0.5144766146993318,0.5470300818493896,0.5159005462730508,0.4871196325247064
10.0,1.647834300994873,0.4910913140311804,0.5805502791946666,0.48495901212688863,0.47328682750755585
11.0,1.5211666822433472,0.5334075723830735,0.5546199336785357,0.5333008788775576,0.515117330040607
12.0,1.6891064643859863,0.5066815144766147,0.5353531464206019,0.5077397089974223,0.48291635539622396
13.0,1.4731025695800781,0.5512249443207127,0.596980534216179,0.5476235799756671,0.5355669130026266
14.0,1.4696303606033325,0.5534521158129176,0.5977228563957887,0.5479914534882775,0.5438480306883049
15.0,1.390424132347107,0.5634743875278396,0.5826510402470356,0.5622962917722446,0.5583121616668651
16.0,1.3349230289459229,0.5935412026726058,0.6046044215339299,0.5922823159737861,0.5854687932892286
17.0,1.3409602642059326,0.5957683741648107,0.6008182051107568,0.5935589268293442,0.5845509329997737
18.0,1.299795389175415,0.6146993318485523,0.6195855004131318,0.6129209283410735,0.607852216177794
19.0,1.3672219514846802,0.5846325167037862,0.6143664537896965,0.5834666612307265,0.5811314102990806
20.0,1.2932331562042236,0.6135857461024499,0.6279773606505503,0.6112697176340551,0.6037035725466314
21.0,1.2150424718856812,0.6425389755011136,0.6532922262132564,0.6392527770363524,0.6363017769586478
22.0,1.2336031198501587,0.6325167037861915,0.644111297927348,0.6294678984733431,0.623902561407858
23.0,1.2005525827407837,0.6325167037861915,0.6404943503804655,0.6302028162345766,0.6236637111321426
24.0,1.220059871673584,0.6336302895322939,0.654052291987916,0.6316504033141963,0.6283820899209671
25.0,1.2132878303527832,0.6447661469933185,0.6539995774233809,0.6429063874136469,0.6403983969975826
26.0,1.142479658126831,0.6570155902004454,0.6686179394580859,0.655593994446989,0.655883091979251
27.0,1.1629774570465088,0.6503340757238307,0.6556303861072327,0.6476094296148741,0.6438680507581281
28.0,1.1287907361984253,0.6570155902004454,0.6672750663859448,0.6560651724626316,0.6544521039938372
29.0,1.136147379875183,0.6603563474387528,0.6681482996892335,0.6590752028161284,0.6574515469773746
30.0,1.0977473258972168,0.6648106904231625,0.6735762147736243,0.66314819409647,0.6627346390295513
1.0,1.1197535991668701,0.6614699331848553,0.6710988879424431,0.6610798317880895,0.6606716684311746
